Name_of_TF,N_of_Windings,Parameter,Value,Unit,AssociateSG
,,Winding_R,0.00356417,pu,
,,Winding_X,0.1576597,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_GUACOLDA_N4,2,S,180,MVA,GUACOLDA_U4
,,f,50,Hz,
,,WV1,235.95,kV_RMSLL,
,,WV2,14.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00333333,pu,
,,Winding_X,0.1574647,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_GUACOLDA_N5,2,S,182,MVA,GUACOLDA_U5
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,14.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0032967,pu,
,,Winding_X,0.159966,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NEHU_N3,2,S,175,MVA,Nehuenco_U1_TV
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00372571,pu,
,,Winding_X,0.1299466,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NEHU_N1,2,S,275,MVA,Nehuenco_U1_TG
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15.75,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00326182,pu,
,,Winding_X,0.1299591,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NEHU_N2,2,S,331,MVA,Nehuenco_U2_TG
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15.75,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00176435,pu,
,,Winding_X,0.129988,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NEHU_N4,2,S,180.7,MVA,Nehuenco_U2_TV
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15.75,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00217488,pu,
,,Winding_X,0.1299818,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NEHU_N5,2,S,125,MVA,Nehuenco_U3
,,f,50,Hz,
,,WV1,235,kV_RMSLL,
,,WV2,10.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.000792,pu,
,,Winding_X,0.1245975,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_HORNIT_U1,2,S,65,MVA,Hornitos_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00199077,pu,
,,Winding_X,0.1289846,pu,
,,Winding_impedance_on_winding_1,0.5,,
tr_los_quilos,2,S,40,MVA,LosQuilos
,,f,50,Hz,
,,WV1,110,kV_RMSLL,
,,WV2,6.6,kV_RMSLL,
,,Tap_ratio,1.0,,
,,Winding_R,0.001,pu,
,,Winding_X,0.06,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_BLANCO,2,S,56,MVA,Blanco
,,f,50,Hz,
,,WV1,115,kV_RMSLL,
,,WV2,12,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00328804,pu,
,,Winding_X,0.1099508,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_JUNCAL,2,S,33,MVA,Juncal
,,f,50,Hz,
,,WV1,115,kV_RMSLL,
,,WV2,12,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00374848,pu,
,,Winding_X,0.1121374,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_GUACOLDA_N1,2,S,176.5,MVA,Guacolda_U1
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.00339943,pu,
,,Winding_X,0.15746331,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_Guacolda_N2,2,S,176.5,MVA,Guacolda_U2
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.00339943,pu,
,,Winding_X,0.15746331,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_GUACOLDA_N3,2,S,180,MVA,Guacolda_U3
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,13.3,kV_RMSLL,
,,Tap_ratio,1.05,,
,,Winding_R,0.00356417,pu,
,,Winding_X,0.15766,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_GUACOLDA_N4,2,S,180,MVA,Guacolda_U4
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,14.5,kV_RMSLL,
,,Tap_ratio,1.05,,
,,Winding_R,0.00333333,pu,
,,Winding_X,0.157465,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_GUACOLDA_N5,2,S,182,MVA,Guacolda_U5
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,14.5,kV_RMSLL,
,,Tap_ratio,1.05,,
,,Winding_R,0.0032967,pu,
,,Winding_X,0.159966,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ALFAL_N1,2,S,95,MVA,Alfalfal_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,12,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00282105,pu,
,,Winding_X,0.09195674,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ALFAL_N2,2,S,100,MVA,Alfalfal_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,12,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00282105,pu,
,,Winding_X,0.09195674,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ALFAL_II_N1,2,S,170,MVA,Alfalfal_II_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,0.975,,
,,Winding_R,0.00155556,pu,
,,Winding_X,0.1298,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ALFAL_II_N2,2,S,170,MVA,Alfalfal_II_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,.975,,
,,Winding_R,0.00155556,pu,
,,Winding_X,0.1298,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TOCOPI_N14,2,S,147,MVA,Tocopilla_U14
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00299429,pu,
,,Winding_X,0.1591718,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TOCOPI_N15,2,S,147,MVA,Tocopilla_U15
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00357143,pu,
,,Winding_X,0.15926,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TOCOPI_N16,2,S,510,MVA,Tocopilla_U16
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,21,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00194333,pu,
,,Winding_X,0.1756092,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TOCOPI_N12,2,S,92,MVA,Tocopilla_U12
,,f,50,Hz,
,,WV1,112.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0001,pu,
,,Winding_X,0.1161,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TOCOPI_N13,2,S,92,MVA,Tocopilla_U13
,,f,50,Hz,
,,WV1,112.125,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00373261,pu,
,,Winding_X,0.1176408,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CCH_N1,2,S,320,MVA,CCH_U1
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0023196,pu,
,,Winding_X,0.1240783,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CCH_N2,2,S,320,MVA,CCH_U2
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.05,,
,,Winding_R,0.00233653,pu,
,,Winding_X,0.1245781,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_KELAR_N1,2,S,220,MVA,Kelar_TG1
,,f,50,Hz,
,,WV1,227,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00296818,pu,
,,Winding_X,0.146868,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_KELAR_N2,2,S,220,MVA,Kelar_TG2
,,f,50,Hz,
,,WV1,227,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00296818,pu,
,,Winding_X,0.146868,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_KELAR_N3,2,S,220,MVA,Kelar_TV
,,f,50,Hz,
,,WV1,227,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00296818,pu,
,,Winding_X,0.146868,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TG1A,2,S,165,MVA,TG1A
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00283279,pu,
,,Winding_X,0.1363706,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TG1B,2,S,165,MVA,TG1B
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00283279,pu,
,,Winding_X,0.1363706,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TV1C,2,S,165,MVA,TV1C
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00283279,pu,
,,Winding_X,0.1363706,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TG2A,2,S,165,MVA,TG2A
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00283279,pu,
,,Winding_X,0.1363706,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TG2B,2,S,165,MVA,TG2B
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00283279,pu,
,,Winding_X,0.1363706,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TV2C,2,S,165,MVA,TV2C
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00283279,pu,
,,Winding_X,0.1363706,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_IEM,2,S,442,MVA,IEM
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,20,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0016698,pu,
,,Winding_X,0.1427,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CTM3_TG,2,S,185,MVA,CTM3_TG
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00269497,pu,
,,Winding_X,0.1283617,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CTM3_TV,2,S,111,MVA,CTM3_TV
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,11.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00392252,pu,
,,Winding_X,0.08560217,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CTH,2,S,210,MVA,CTH
,,f,50,Hz,
,,WV1,223,kV_RMSLL,
,,WV2,15.75,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00288052,pu,
,,Winding_X,0.1223,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CTM2,2,S,197,MVA,CTM2
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0001,pu,
,,Winding_X,0.173864,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CTM1,2,S,176,MVA,CTM1
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00247727,pu,
,,Winding_X,0.1763876,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CTA,2,S,210,MVA,CTA
,,f,50,Hz,
,,WV1,223,kV_RMSLL,
,,WV2,15.75,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00288052,pu,
,,Winding_X,0.1223,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANG_N1,2,S,320,MVA,Angamos_U1
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.002175,pu,
,,Winding_X,0.12518,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_ANG_N2,2,S,320,MVA,Angamos_U2
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.025,,
,,Winding_R,0.001,pu,
,,Winding_X,0.12568,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CDOM_N1,2,S,128,MVA,CDOM_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00316645,pu,
,,Winding_X,0.135,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CCH_U1,2,S,320,MVA,Cochrane_U1
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.0125,,
,,Winding_R,0.0012,pu,
,,Winding_X,0.1241,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CPABE_N1,2,S,30,MVA,C_Pabellon_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,9.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00252067,pu,
,,Winding_X,0.1304557,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CPABE_N2,2,S,30,MVA,C_Pabellon_U2
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,9.5,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00252067,pu,
,,Winding_X,0.1304557,pu,
,,Winding_impedance_on_winding_1,0.5,,
YD_1,2,S,63,MVA,C_Pabellon_U3
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,9.5,kV_RMSLL,
,,Tap_ratio,1,,
