Name_PV,LibType,N_PV_arrays,N_PV_inServ,S_spv,Unit,P_ctrlMode,Active_ref,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu
PMGD_PFV_Teno154,WECC PV park,186,186,1,MVA,2,0.27,pu,1,0,pu,186,50.22000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Tinguiririca154,WECC PV park,115,115,1,MVA,2,0.27,pu,1,-0.1,pu,115,31.05000000,-11.50000000,0.27000000,-0.10000000
PMGD_PFV_Charrua066,WECC PV park,249,249,1,MVA,2,0.27,pu,1,-0.1,pu,249,67.23000000,-24.90000000,0.27000000,-0.10000000
PMGD_PFV_Horcones066,WECC PV park,33,33,1,MVA,2,0.27,pu,1,-0.1,pu,33,8.91000000,-3.30000000,0.27000000,-0.10000000
PMGD_PFV_Mulchen220,WECC PV park,91,91,1,MVA,2,0.27,pu,1,-0.1,pu,91,24.57000000,-9.10000000,0.27000000,-0.10000000
PMGD_PFV_Duqueco220,WECC PV park,29,29,1,MVA,2,0.27,pu,1,0,pu,29,7.83000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Temuco066,WECC PV park,30,30,1,MVA,2,0.27,pu,1,-0.1,pu,30,8.10000000,-3.00000000,0.27000000,-0.10000000
PFV_Gran_Teno_OG,WECC PV park,241,241,1,MVA,2,0.27,pu,1,-0.1,pu,241,65.07000000,-24.10000000,0.27000000,-0.10000000
PFV_Tamango_OG,WECC PV park,49,49,1,MVA,2,0.27,pu,1,-0.1,pu,49,13.23000000,-4.90000000,0.27000000,-0.10000000
PMG_Venezia_Solar_OG,WECC PV park,11,11,1,MVA,2,0.27,pu,1,-0.1,pu,11,2.97000000,-1.10000000,0.27000000,-0.10000000
PFV_Ortega_Negrete_OG,WECC PV park,3,3,1,MVA,2,0.27,pu,1,-0.1,pu,3,0.81000000,-0.30000000,0.27000000,-0.10000000
PFV_Dona_Carmen_New,WECC PV park,35,35,1,MVA,2,0.185,pu,1,0,pu,35,6.47500000,0.00000000,0.18500000,0.00000000
PFV_Quilapilun_New,WECC PV park,110,110,1,MVA,2,0.2725,pu,1,-0.014,pu,110,29.97500000,-1.54000000,0.27250000,-0.01400000
PFV_Willka2_New,WECC PV park,105,105,1,MVA,2,0.27,pu,1,-0.2643,pu,105,28.35000000,-27.75150000,0.27000000,-0.26430000
PFV_Quilapilun,PV park,66,66,1.667,MVA,2,0.27,pu,1,-0.013636364,pu,110.022,29.70594000,-1.50029960,0.27000000,-0.01363636
PFV_Dona_Carmen,PV park,21,21,1.667,MVA,2,0.27,pu,1,0,pu,35.007,9.45189000,0.00000000,0.27000000,0.00000000
