Name_WP,LibType,N_wind_turbines,N_WT_inServ,Snom_WP,Unit,Active_ref,Unit,Turbine Power,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu
PE_MallecoNorte,WECC WP,83,83,1.667,MVA,0.28,pu,,,1,-0.0554,pu,138.361,38.74108000,-7.66519940,0.28000000,-0.05540000
PE_MallecoSur,WECC WP,81,81,1.667,MVA,0.28,pu,,,1,-0.137283951,pu,135.02700000000001,37.80756000,-18.53703992,0.28000000,-0.13728395
PE_Los_Olmos,WECC WP,65,65,1.667,MVA,0.28,pu,,,1,-0.1056,pu,108.355,30.33940000,-11.44228800,0.28000000,-0.10560000
PE_Tolpan_Sur,WECC WP,50,50,1.667,MVA,0.28,pu,,,1,-0.0554,pu,83.35000000000001,23.33800000,-4.61759000,0.28000000,-0.05540000
PE_Lomas_de_Duqueco,WECC WP,37,37,1.667,MVA,0.28,pu,,,1,-0.003243243,pu,61.679,17.27012000,-0.20003980,0.28000000,-0.00324324
PE_SUR_1,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,-0.1,pu,250.05,70.01400000,-25.00500000,0.28000000,-0.10000000
PE_SUR_2,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_SUR_3,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_SUR_4,WECC WP,150,150,1.667,MVA,0.28,pu,,,1,0,pu,250.05,70.01400000,0.00000000,0.28000000,0.00000000
PE_Renaico_I,WECC WP,56,56,1.667,MVA,0.28,pu,,,1,-0.14,pu,93.352,26.13856000,-13.06928000,0.28000000,-0.14000000
PE_Horizonte_Etapa1_OG,WECC Wind park,409,409,1,MVA,0.28,pu,,,1,0,pu,409,114.52000000,0.00000000,0.28000000,0.00000000
PE_Horizonte_Etapa2_OG,WECC Wind park,409,409,1,MVA,0.28,pu,,,1,0,pu,409,114.52000000,0.00000000,0.28000000,0.00000000
PE_Lomas_de_TalTal_OG,WECC Wind park,342,342,1,MVA,0.28,pu,,,1,0,pu,342,95.76000000,0.00000000,0.28000000,0.00000000
PE_Antofagasta_OG,WECC Wind park,364,364,1,MVA,0.28,pu,,,1,0,pu,364,101.92000000,0.00000000,0.28000000,0.00000000
PE_San_Matias_Etapa1_OG,WECC Wind park,81,81,1,MVA,0.28,pu,,,1,0,pu,81,22.68000000,0.00000000,0.28000000,0.00000000
PE_Caman_Etapa1_OG,WECC Wind park,149,149,1,MVA,0.28,pu,,,1,0,pu,149,41.72000000,0.00000000,0.28000000,0.00000000
PE_Taltal,FC Wind park,63,38,1.667,MVA,,,0,MW,1,0,pu,63.346000000000004,0.00000000,0.00000000,0.00000000,0.00000000
